Name,Position,link,Active
Alton Alexis,WR,pro-football-reference.com/players/A/AlexAl20.htm,no
Rich Alexis,RB,pro-football-reference.com/players/A/AlexRi00.htm,no
Ted Alflen,RB,pro-football-reference.com/players/A/AlflTe20.htm,no
Julie Alfonse,WB-TB-DB,pro-football-reference.com/players/A/AlfoJu20.htm,no
Brian Alford,WR,pro-football-reference.com/players/A/AlfoBr00.htm,no
Bruce Alford,E-DB,pro-football-reference.com/players/A/AlfoBr01.htm,no
Bruce Alford,K,pro-football-reference.com/players/A/AlfoBr20.htm,no
Darnell Alford,G,pro-football-reference.com/players/A/AlfoDa20.htm,no
Dominic Alford,OL,pro-football-reference.com/players/A/AlfoDo00.htm,no
Gene Alford,WB-DB-BB-FB,pro-football-reference.com/players/A/AlfoGe20.htm,no
Jay Alford,DT,pro-football-reference.com/players/A/AlfoJa99.htm,no
Lynwood Alford,LB,pro-football-reference.com/players/A/AlfoLy20.htm,no
Mario Alford,WR,pro-football-reference.com/players/A/AlfoMa00.htm,no
Mike Alford,C,pro-football-reference.com/players/A/AlfoMi20.htm,no
Robert Alford,CB,pro-football-reference.com/players/A/AlfoRo00.htm,yes
Warren Alfson,G-LB,pro-football-reference.com/players/A/AlfsWa20.htm,no
Charles Ali,RB,pro-football-reference.com/players/A/AlixCh00.htm,no
Mo Alie-Cox,TE,pro-football-reference.com/players/A/AlieMo00.htm,yes
Tuineau Alipate,LB,pro-football-reference.com/players/A/AlipTu20.htm,no
Don Allard,QB,pro-football-reference.com/players/A/AllaDo20.htm,no
Raul Allegre,K,pro-football-reference.com/players/A/allegrau01.htm,no
Nick Allegretti,"G
",pro-football-reference.com/players/A/AlleNi00.htm,yes
Andy Alleman,G,pro-football-reference.com/players/A/AlleAn20.htm,no
Anthony Allen,WR,pro-football-reference.com/players/A/AlleAn00.htm,no
Anthony Allen,RB,pro-football-reference.com/players/A/AlleAn01.htm,no
Antonio Allen,SS,pro-football-reference.com/players/A/AlleAn02.htm,no
Armando Allen,RB,pro-football-reference.com/players/A/AlleAr00.htm,no
Asher Allen,DB,pro-football-reference.com/players/A/AlleAs99.htm,no
Beau Allen,DT,pro-football-reference.com/players/A/AlleBe00.htm,yes
Brian Allen,LB,pro-football-reference.com/players/A/AlleBr21.htm,no
Brian Allen,RB,pro-football-reference.com/players/A/AlleBr20.htm,no
Brian Allen,CB,pro-football-reference.com/players/A/AlleBr01.htm,yes
Brian Allen,C,pro-football-reference.com/players/A/AlleBr02.htm,yes
Buddy Allen,HB,pro-football-reference.com/players/A/AlleBu00.htm,no
Carl Allen,RB-DB,pro-football-reference.com/players/A/AlleCa20.htm,no
Carl Allen,DB,pro-football-reference.com/players/A/AlleCa21.htm,no
Chase Allen,LB,pro-football-reference.com/players/A/AlleCh02.htm,yes
Chuck Allen,LB,pro-football-reference.com/players/A/AlleCh00.htm,no
Cortez Allen,DB,pro-football-reference.com/players/A/AlleCo00.htm,no
Dakota Allen,LB,pro-football-reference.com/players/A/AlleDa01.htm,yes
Dalva Allen,DE,pro-football-reference.com/players/A/AlleDa20.htm,no
David Allen,RB,pro-football-reference.com/players/A/AlleDa00.htm,no
Denicos Allen,OLB,pro-football-reference.com/players/A/AlleDe00.htm,no
Derek Allen,G,pro-football-reference.com/players/A/AlleDe20.htm,no
Don Allen,FB,pro-football-reference.com/players/A/AlleDo01.htm,no
Doug Allen,LB,pro-football-reference.com/players/A/AlleDo20.htm,no
Duane Allen,TE,pro-football-reference.com/players/A/AlleDu00.htm,no
Dwayne Allen,TE,pro-football-reference.com/players/A/AlleDw00.htm,yes
Earl Allen,DB,pro-football-reference.com/players/A/AlleEa20.htm,no
Ed Allen,E,pro-football-reference.com/players/A/AlleEd20.htm,no
Eddie Allen,FB-LB,pro-football-reference.com/players/A/AlleEd21.htm,no
Egypt Allen,DB,pro-football-reference.com/players/A/AlleEg20.htm,no
Eric Allen,DB,pro-football-reference.com/players/A/AlleEr00.htm,no
Ermal Allen,QB-DB,pro-football-reference.com/players/A/AlleEr20.htm,no
Gary Allen,RB,pro-football-reference.com/players/A/AlleGa20.htm,no
George Allen,T,pro-football-reference.com/players/A/AlleGe20.htm,no
Gerry Allen,RB,pro-football-reference.com/players/A/AlleJe00.htm,no
Grady Allen,LB,pro-football-reference.com/players/A/AlleGr20.htm,no
Greg Allen,RB,pro-football-reference.com/players/A/AlleGr21.htm,no
Harvey Allen,DB,pro-football-reference.com/players/A/AlleHa20.htm,no
Ian Allen,T,pro-football-reference.com/players/A/AlleIa20.htm,no
Jackie Allen,DB,pro-football-reference.com/players/A/AlleJa20.htm,no
Jake Allen,WR,pro-football-reference.com/players/A/AlleJa24.htm,no
James Allen,RB,pro-football-reference.com/players/A/AlleJa00.htm,no
James Allen,LB,pro-football-reference.com/players/A/AlleJa21.htm,no
Jared Allen,DE,pro-football-reference.com/players/A/AlleJa22.htm,no
Jason Allen,DB,pro-football-reference.com/players/A/AlleJa23.htm,no
Javorius Allen,RB,pro-football-reference.com/players/A/AlleJa01.htm,yes
Jeff Allen,DB,pro-football-reference.com/players/A/AlleJe21.htm,no
Jeff Allen,DB,pro-football-reference.com/players/A/AlleJe20.htm,no
Jeff Allen,T,pro-football-reference.com/players/A/AlleJe01.htm,yes
Jimmy Allen,DB,pro-football-reference.com/players/A/AlleJi20.htm,no
Johnny Allen,C-LB,pro-football-reference.com/players/A/AlleJo20.htm,no
Jonathan Allen,DT,pro-football-reference.com/players/A/AlleJo01.htm,yes
Josh Allen,C,pro-football-reference.com/players/A/AlleJo00.htm,no
Josh Allen,QB,pro-football-reference.com/players/A/AlleJo02.htm,yes
Josh Allen,EDGE,pro-football-reference.com/players/A/AlleJo03.htm,yes
Keenan Allen,WR,pro-football-reference.com/players/A/AlleKe00.htm,yes
Kenderick Allen,DT,pro-football-reference.com/players/A/AlleKe20.htm,no
Kevin Allen,T,pro-football-reference.com/players/A/AlleKe21.htm,no
Kyle Allen,QB,pro-football-reference.com/players/A/AlleKy00.htm,yes
Larry Allen,G-T,pro-football-reference.com/players/A/AlleLa00.htm,no
Lou Allen,T,pro-football-reference.com/players/A/AlleLo20.htm,no
Lynn Allen,WB,pro-football-reference.com/players/A/AlleLy20.htm,no
Marcus Allen,RB,pro-football-reference.com/players/A/AlleMa00.htm,no
Marcus Allen,S,pro-football-reference.com/players/A/AlleMa03.htm,yes
Marvin Allen,RB,pro-football-reference.com/players/A/AlleMa01.htm,no
Matt Allen,P,pro-football-reference.com/players/A/AlleMa20.htm,no
Nate Allen,DB,pro-football-reference.com/players/A/AlleNa20.htm,no
Nate Allen,DB,pro-football-reference.com/players/A/AlleNa99.htm,no
Patrick Allen,DB,pro-football-reference.com/players/A/AllePa20.htm,no
Rashaun Allen,TE,pro-football-reference.com/players/A/AlleRa00.htm,no
Ricardo Allen,CB,pro-football-reference.com/players/A/AlleRi00.htm,yes
Roger Allen,G,pro-football-reference.com/players/A/AlleRo20.htm,no
Russell Allen,LB,pro-football-reference.com/players/A/AlleRu00.htm,no
Ryan Allen,P,pro-football-reference.com/players/A/AlleRy01.htm,no
Taje Allen,DB,pro-football-reference.com/players/A/AlleTa20.htm,no
Terry Allen,RB,pro-football-reference.com/players/A/AlleTe00.htm,no
Torrence Allen,WR,pro-football-reference.com/players/A/AlleTo00.htm,no
Tremayne Allen,TE,pro-football-reference.com/players/A/AlleTr00.htm,no
Will Allen,DB,pro-football-reference.com/players/A/AlleWi20.htm,no
Will Allen,DB,pro-football-reference.com/players/A/AlleWi21.htm,no
Zach Allen,DL,pro-football-reference.com/players/A/AlleZa01.htm,yes
Kurt Allerman,LB,pro-football-reference.com/players/A/AlleKu20.htm,no
Ty Allert,LB,pro-football-reference.com/players/A/AlleTy20.htm,no
Don Alley,WR,pro-football-reference.com/players/A/AlleDo00.htm,no
